chart,series,period_or_condition,value,unit,type,source_or_formula
us-china-trade,2025,2025-01,318.952,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,2025-02,212.24900000000002,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,2025-03,180.013,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,2025-04,172.418,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,2025-05,139.467,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,2025-06,94.323,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,2025-07,170.845,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-01,127.288,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-02,110.09100000000001,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-03,97.561,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-04,103.941,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-05,143.904,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-06,155.78799999999998,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2026,2026-07,173.605,亿美元,实际_名义_未季调,https://www.census.gov/foreign-trade/balance/c5700.html
us-china-trade,2025,1—7月,1288.267,亿美元,计算,2025年1—7月已公布差额求和
us-china-trade,2026,1—7月,912.177,亿美元,官方合计,月度值与合计有舍入差异
eu-china-trade,进口,2025,5594,亿欧元,实际,https://ec.europa.eu/eurostat/fr/web/products-eurostat-news/w/ddn-20260410-2
eu-china-trade,出口,2025,1996,亿欧元,实际,https://ec.europa.eu/eurostat/fr/web/products-eurostat-news/w/ddn-20260410-2
eu-china-trade,逆差,2025,3598,亿欧元,实际,https://ec.europa.eu/eurostat/fr/web/products-eurostat-news/w/ddn-20260410-2
